,ground ginger,light brown sugar,fresh basil,onion powder,lemons,bay leaf,vinegar,dried thyme,cumin,oregano,fresh ground pepper,sesame oil,ground nutmeg,bay leaves,bananas,shredded cheddar cheese,whole milk,red bell pepper,chicken,boiling water,whole wheat flour,crushed red pepper flakes,thyme,fresh lime juice,whipping cream,shortening,apples,fresh thyme,low - fat milk,white wine,lemon zest,chicken breasts,diced tomatoes,breadcrumbs,strawberries,curry powder,basil,cold water,red pepper flakes,white pepper,red bell peppers,green peppers,shrimp,semi - sweet chocolate chips,dry mustard,dried basil,pure vanilla extract,salsa,ground cloves,cooking spray,black beans,chives,garlic salt,warm water,half - and - half,green bell pepper,cider vinegar,feta cheese,monterey jack cheese,almond extract,barbecue sauce,cherry tomatoes,hot sauce,peanut butter,chocolate chips,maple syrup,celery ribs,nuts,lime,sharp cheddar cheese,green pepper,yellow onion,sesame seeds,dark brown sugar,flat leaf parsley,bread,white vinegar,green bell peppers,evaporated milk,molasses,white wine vinegar,cabbage,cocoa powder,almonds,corn,cream,heavy whipping cream,egg yolk,ice,capers,pine nuts,cake flour,orange zest,fresh rosemary,flour tortillas,fresh basil leaves,cucumbers,plain yogurt,fresh parsley leaves,unsweetened cocoa powder,lean ground beef,shallot,avocado,hot water,lettuce,apple cider vinegar,red wine,cloves,peanut oil,red peppers,italian seasoning,fresh mushrooms,ground coriander,black olives,fresh chives,cayenne,yellow onions,sweet potatoes,egg white,rice vinegar,beef broth,sweetened condensed milk,ham,Tabasco sauce,spinach,plum tomatoes,swiss cheese,salt and black pepper,rosemary,cornmeal,rice,limes,cooked chicken,banana,cocoa,ricotta cheese,avocados,blueberries,cooked rice,low sodium chicken broth,seasoning salt,coconut milk,broccoli,turmeric,orange,ice cubes,green beans,cucumber,leeks,rolled oats,red pepper,bell peppers,light corn syrup,of fresh mint,fresh dill,vanilla ice cream,green chilies,skim milk,sliced almonds,salt & pepper,sliced mushrooms,coarse salt,ground allspice,vodka,oranges,bread flour,semisweet chocolate,asparagus,boneless skinless chicken breast halves,allspice,jalapenos,fish sauce,active dry yeast,pasta,basil leaves,red potatoes,cream of tartar,frozen peas,cumin seeds,panko breadcrumbs,slivered almonds,dried cranberries,parmigiano - reggiano cheese,whipped cream,beer,corn tortillas,Philadelphia Cream Cheese,sake,blue cheese,mustard,pineapple juice,romaine lettuce,brandy,vegetable broth,dried parsley,applesauce,graham cracker crumbs,Granny Smith apples,caster sugar,cream of mushroom soup,jalapeno peppers,coconut,cracked black pepper,Greek yogurt,plain flour,vegetable stock,crushed pineapple,goat cheese,bittersweet chocolate,hot pepper sauce,spaghetti,white bread,icing sugar,salt & fresh ground pepper,dry red wine,cooking oil,apple,broccoli florets,mirin,low - fat sour cream,dry sherry,salmon fillets,chickpeas,fresh strawberries,cauliflower,whole cloves,crushed tomatoes,beef stock,butternut squash,celery seeds,ground pork,fresh flat - leaf parsley,fresh thyme leaves,vegetable shortening,cinnamon sticks,jalapeno pepper,lemon peel,apple juice,fresh spinach,peaches,Cool Whip,jalapeno,Velveeta cheese,gingerroot,rum,white onion,ground turkey,kalamata olives,fennel seeds,Baby Spinach,cream of chicken soup,roasted red peppers,creamy peanut butter,chopped tomatoes,coriander,French bread,hard - boiled eggs,beef,frozen chopped spinach,sun - dried tomatoes,yeast,russet potatoes,nonfat milk,fresh oregano,Cool Whip Topping,black peppercorns,golden raisins,dried rosemary,fresh mint leaves,pork tenderloin,olives,prosciutto,dates,peanuts,cottage cheese,yogurt,prepared mustard,pumpkin,white onions,tortilla chips,white chocolate,fresh orange juice,seasoning,pineapple,roma tomatoes,chocolate,potato,dried apricots,sherry wine,cilantro leaves,vanilla bean,low sodium soy sauce,diced onions,leek,kidney beans,raspberries,eggplants,mint leaves,yellow cornmeal,cinnamon stick,green onion,smoked paprika,rice wine vinegar,dry breadcrumbs,unbleached all - purpose flour,fresh cilantro leaves,pumpkin puree,fresh coarse ground black pepper,frozen corn,flaked coconut,mint,spaghetti sauce,coriander seeds,dark rum,button mushrooms,apple cider,coconut oil,oats,pumpkin pie spice,nonstick cooking spray,bell pepper,Bourbon,crabmeat,hoisin sauce,ground pepper,yukon gold potatoes,Italian dressing,caraway seeds,creme fraiche,chili sauce,unsweetened chocolate,grape tomatoes,miniature marshmallows,maraschino cherries,poppy seeds,sherry wine vinegar,eggplant,garam masala,elbow macaroni,ice water,lettuce leaves,mangoes,chicken thighs,pork,arugula,ground red pepper,large shrimp,oyster sauce,dill,sweet onion,dark chocolate,celery salt,radishes,sage,baby carrots,corn syrup,fresh blueberries,lime zest,kale,oatmeal,pork chops,ground cardamom,red food coloring,scallion,old fashioned oats,sweet onions,tomato puree,white rice,baby spinach leaves,green olives,spring onions,pecan halves,provolone cheese,boneless chicken breasts,hazelnuts,fresh gingerroot,ground turmeric,cooked ham,mustard seeds,yellow squash,marshmallows,orange peel,peppercorns,fresh raspberries,celery rib,shredded coconut,lasagna noodles,lemon wedges,light cream,medium shrimp,prepared horseradish,turkey,soymilk,tomato juice,fresh breadcrumbs,artichoke hearts,gruyere cheese,sunflower seeds,quinoa,yellow cake mix
chocolate,1,8,0,0,1,0,2,0,0,0,0,0,1,3,15,0,9,0,0,12,2,0,0,0,22,3,0,0,10,0,3,0,0,1,15,0,0,4,0,0,0,0,0,3,0,0,13,0,5,1,0,0,0,1,2,0,0,0,1,10,0,0,0,10,9,4,0,9,1,0,0,0,0,1,0,0,0,0,10,1,0,0,51,13,0,16,36,22,1,0,2,20,6,0,1,0,0,1,0,14,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,2,1,0,0,0,0,0,0,4,15,0,0,3,0,0,0,2,0,0,3,2,0,0,0,2,0,0,9,1,0,6,0,1,10,0,0,0,0,1,3,3,15,0,0,4,0,0,1,0,0,0,7,0,0,0,1,0,0,12,2,0,2,0,0,0,0,0,4,0,0,2,5,0,16,0,0,8,0,1,9,0,1,1,4,0,0,0,15,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,2,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,3,0,0,0,1,2,0,1,0,0,0,0,5,0,0,0,0,0,1,1,0,0,3,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,4,0,0,1,3,1,0,0,0,0,0,0,0,0,0,3,0,5,0,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,17,2,0,4,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,2
potato,4,0,3,3,6,27,6,21,8,10,3,1,8,9,0,4,4,8,12,5,3,5,16,0,0,1,1,6,4,5,0,5,9,6,0,14,10,4,4,5,4,5,5,0,4,3,0,5,5,5,2,13,6,5,3,6,1,1,2,0,0,4,4,0,0,0,12,0,1,3,7,6,0,0,6,3,1,4,3,0,1,16,0,1,9,9,4,6,0,4,1,2,0,4,1,0,0,5,12,0,3,2,0,2,3,2,5,2,4,8,7,6,7,1,3,3,4,2,1,0,9,0,10,0,7,1,1,8,4,1,4,1,4,0,0,1,0,1,0,1,10,5,6,11,1,0,7,5,14,0,5,5,0,1,4,0,5,2,0,6,0,1,0,0,0,2,0,4,0,1,3,2,1,4,2,0,0,9,8,4,0,0,0,0,4,2,0,4,1,1,0,2,0,6,3,0,0,1,1,3,0,2,1,0,4,14,0,0,0,0,1,0,0,0,1,8,6,2,5,3,1,1,6,0,10,0,0,12,3,3,5,2,0,2,2,2,2,0,1,0,0,3,1,0,0,4,2,1,3,0,0,1,1,4,5,0,3,6,1,0,1,0,1,1,0,2,0,5,0,0,4,0,0,4,0,5,0,2,4,0,0,0,3,0,0,1,0,0,1,2,0,0,1,10,1,0,1,1,0,0,0,1,0,0,2,0,0,1,6,0,0,1,0,0,1,2,1,0,0,2,1,0,1,0,3,2,1,3,1,0,0,1,0,0,0,2,4,5,0,1,0,0,5,6,0,0,0,0,6,3,0,3,0,4,6,0,0,0,4,0,0,2,0,3,0,0,9,1,1,2,2,0,1,0,0,3,3,1,5,2,0,0,1,0,9,0,0,0,3,0,0,4,5,4,0,1,1,2,2,0
dried apricots,24,15,1,1,16,2,6,6,9,1,9,0,8,3,3,0,3,3,8,11,8,4,3,2,3,2,15,11,11,14,9,3,3,3,1,13,2,8,1,5,2,1,0,3,1,0,4,1,13,6,1,0,2,2,1,1,9,2,0,14,1,1,0,2,3,5,4,6,1,1,2,1,4,7,6,2,3,0,1,1,5,1,3,21,0,1,3,1,0,0,15,0,7,2,1,0,0,4,3,0,1,5,0,5,1,3,4,7,0,2,0,0,13,1,2,3,3,5,3,2,0,4,2,2,0,4,1,2,1,1,3,0,3,1,0,2,1,1,1,5,0,1,0,6,6,0,1,1,0,16,0,0,2,8,0,2,0,1,20,0,2,3,6,1,5,10,4,0,1,13,1,0,5,0,0,0,0,0,1,0,15,27,0,1,0,1,1,0,3,0,1,0,8,2,0,3,1,5,13,0,1,3,0,3,6,1,3,1,4,0,0,3,4,0,5,0,2,0,0,0,2,0,4,2,0,1,0,1,3,0,0,4,1,0,8,2,5,5,1,1,1,0,0,2,0,0,0,3,3,1,0,0,1,3,5,0,1,0,0,0,4,0,0,1,1,1,29,2,5,5,3,0,12,2,1,0,0,2,2,0,8,4,1,0,0,1,0,0,2,1,3,0,0,1,0,0,0,1,1,11,0,3,0,1,5,1,0,0,0,3,1,0,9,3,0,0,1,7,0,3,0,0,1,0,0,0,0,3,2,0,1,2,0,1,2,0,0,6,0,1,0,0,3,0,0,0,0,0,0,2,3,0,0,1,2,1,0,0,2,3,2,5,0,0,8,1,2,0,3,2,1,6,0,0,11,1,3,0,1,2,1,3,0,0,0,3,1,1,0,0,0,3,0,0,0,0,0,13,10,0
sherry wine,11,2,2,2,3,17,11,6,3,10,2,42,3,8,1,3,6,12,15,2,1,5,15,5,4,1,2,12,4,8,6,10,1,7,1,9,6,5,10,15,4,10,19,0,5,3,0,1,0,2,4,6,2,3,12,4,7,6,3,4,1,1,2,1,1,2,6,0,0,6,7,4,4,2,3,7,0,4,0,3,2,3,0,12,1,11,3,6,5,6,3,0,12,3,0,2,1,1,12,0,2,6,1,1,0,4,4,3,22,2,1,11,1,1,6,5,2,2,7,9,11,0,4,7,0,0,4,7,7,1,6,2,0,0,0,0,0,1,6,3,2,0,1,0,5,1,3,3,5,0,3,4,0,1,1,3,0,0,2,5,8,1,1,2,4,0,0,2,4,1,0,4,2,2,0,1,1,0,2,2,8,1,0,1,1,0,0,0,1,1,1,0,5,3,1,0,0,1,2,4,1,0,0,0,1,1,1,0,0,2,1,1,2,1,0,5,1,6,0,0,2,1,1,3,1,1,0,7,2,4,4,2,2,1,2,1,1,2,0,0,0,1,0,15,0,3,1,1,2,1,1,0,1,0,1,1,2,5,1,1,1,1,0,6,0,2,1,2,2,9,1,0,0,2,2,0,1,0,1,0,0,3,3,3,1,0,1,2,0,0,0,8,1,4,0,0,0,3,0,3,3,0,2,1,0,1,0,0,1,0,1,1,1,0,4,1,0,0,0,3,0,1,11,13,0,1,0,1,0,5,0,0,1,1,0,4,1,0,0,1,3,0,2,6,0,1,2,7,0,0,0,0,0,1,1,1,0,1,0,1,2,0,0,5,0,3,3,4,0,2,0,0,0,5,2,13,0,2,0,0,0,0,3,0,2,1,2,0,6,3,1,3,0,2,1,1,3,0,0,0
cilantro leaves,6,6,0,8,6,3,1,6,19,3,12,21,2,7,0,2,1,25,3,2,0,10,1,56,0,0,0,1,0,1,3,7,6,1,0,8,0,5,13,5,17,2,12,0,1,0,0,20,2,2,15,7,3,2,1,8,3,2,17,0,2,5,10,3,0,0,6,0,48,6,3,15,4,5,7,0,4,5,0,6,2,7,0,2,5,1,0,1,1,3,7,0,3,1,12,6,6,11,12,1,1,6,23,3,2,4,0,5,20,5,0,0,18,2,0,18,12,2,1,21,3,0,1,2,2,7,0,3,0,3,3,38,3,1,0,1,30,0,2,7,0,9,1,13,5,1,2,12,2,0,5,4,0,3,0,0,8,0,2,3,1,11,2,1,8,0,0,0,3,0,17,41,1,0,11,1,0,2,19,9,1,0,0,0,2,25,0,1,0,0,1,10,0,5,0,0,0,3,0,0,20,4,3,4,0,3,0,2,0,2,1,0,0,1,0,9,0,0,2,2,3,3,7,0,4,0,3,1,3,0,5,1,1,1,8,15,1,1,1,0,0,30,1,7,1,8,3,1,2,1,0,2,2,5,2,0,2,2,0,0,0,5,0,1,0,4,1,0,6,5,1,0,0,2,0,3,0,0,9,3,0,3,2,14,13,0,2,1,0,0,1,6,4,1,2,0,2,17,2,5,3,6,15,0,0,3,0,2,3,1,5,0,10,2,2,1,0,0,0,2,0,0,1,8,1,4,0,2,1,4,0,3,0,0,0,1,3,11,1,0,2,7,5,1,1,2,5,7,0,0,1,0,11,0,2,0,0,8,1,0,0,4,0,4,0,3,2,2,4,1,3,0,1,2,0,5,9,0,4,1,0,0,1,0,0,1,0,3,2,7,0,1,0,1,0,0,0,0,4,0
vanilla bean,10,19,0,0,3,0,0,0,0,0,3,0,11,5,10,0,74,1,0,2,1,0,2,2,25,1,10,0,3,4,21,0,0,1,19,0,1,7,0,1,0,0,0,2,0,0,22,0,14,8,0,2,0,2,25,0,1,0,0,4,0,0,0,0,2,9,0,0,4,0,0,0,0,10,0,2,2,0,0,6,1,0,2,6,0,17,9,17,5,0,0,17,16,0,1,3,0,1,0,7,0,0,0,2,0,4,2,2,2,0,0,0,2,0,0,0,0,4,6,0,0,5,0,0,0,0,0,0,0,2,1,0,0,5,1,5,0,8,0,0,0,11,0,0,9,1,0,0,0,1,0,0,20,4,2,12,0,2,2,0,0,3,2,5,6,2,7,0,0,3,0,1,0,0,0,1,10,0,0,0,3,4,0,18,0,0,2,0,0,0,0,0,16,0,0,2,5,14,5,0,0,4,1,3,1,1,0,0,20,0,0,5,4,0,4,0,0,0,0,0,0,1,0,5,0,8,0,0,1,0,0,0,0,3,17,0,4,3,0,14,0,0,0,2,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,3,5,0,2,1,0,0,0,0,0,2,0,0,0,0,10,7,0,9,0,3,0,3,0,1,0,0,0,0,0,8,0,2,0,10,0,0,0,1,11,0,1,0,0,0,2,0,3,13,0,7,2,2,0,4,0,11,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,7,0,0,0,1,5,7,1,0,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,1,6,2,10,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0
low sodium soy sauce,20,17,6,9,4,3,2,3,1,0,11,69,1,6,0,0,0,22,5,6,2,30,0,40,0,0,0,4,0,2,2,10,6,1,0,9,1,3,26,9,21,2,8,0,3,2,0,3,0,38,2,4,2,1,0,6,3,0,2,0,1,2,7,1,0,5,2,0,8,1,2,9,38,14,3,1,2,8,0,3,5,7,0,2,1,0,0,0,0,0,2,0,11,2,1,3,6,0,0,0,4,6,1,2,0,8,1,2,23,3,2,1,1,0,1,1,3,2,2,75,4,0,1,1,7,1,2,2,0,0,2,6,0,0,0,0,2,0,6,14,0,3,7,2,2,2,14,3,1,0,5,4,0,11,1,0,1,0,0,2,6,0,4,0,5,0,0,12,7,0,3,12,0,0,2,0,0,4,0,6,1,0,0,0,1,2,0,7,0,0,5,3,0,7,2,0,0,0,0,0,3,0,3,2,0,2,1,0,0,5,6,0,0,1,4,0,0,10,18,1,16,9,2,0,1,0,1,3,0,1,9,1,4,0,0,5,0,0,6,0,0,4,0,13,0,2,4,0,0,5,0,2,11,1,1,0,0,4,0,0,0,0,0,0,0,4,0,2,0,14,0,0,0,2,0,0,0,0,1,0,0,11,1,7,0,0,0,0,8,6,0,0,3,0,0,0,3,2,0,2,7,1,26,1,0,8,0,3,0,0,1,0,0,0,2,1,0,0,0,2,5,1,1,37,1,1,1,0,0,10,0,0,0,0,0,4,2,0,0,0,3,4,2,1,1,9,4,15,0,0,0,0,3,0,3,0,0,6,3,0,3,0,0,11,1,0,0,2,1,0,0,0,0,4,0,6,2,0,1,0,0,0,1,0,0,0,0,0,0,4,2,2,1,0,1,0,2,0,2,0
diced onions,4,0,5,5,4,15,2,10,12,13,4,4,2,20,1,23,6,6,5,2,1,13,16,4,1,1,2,6,1,10,2,8,35,10,0,9,14,1,10,12,20,23,8,0,6,16,0,13,1,4,9,3,7,1,6,7,9,4,13,0,8,2,13,0,0,4,0,0,4,3,2,0,3,0,5,7,4,29,5,2,1,7,0,2,9,2,5,2,0,4,3,0,2,4,9,4,2,2,9,0,16,1,2,5,9,5,4,0,2,6,10,8,3,6,2,4,1,3,2,0,6,0,2,9,4,5,3,2,6,1,8,2,13,0,0,2,3,0,7,8,6,1,6,6,0,0,6,1,3,1,1,17,0,1,2,0,4,5,0,4,7,1,0,0,2,3,0,1,6,2,12,0,0,6,3,5,0,5,1,1,3,3,2,0,4,5,1,0,1,2,0,2,1,5,7,1,0,2,0,7,5,0,5,1,0,5,1,3,0,5,3,1,0,12,3,3,3,3,1,6,3,1,2,0,2,2,14,1,3,2,8,3,1,0,0,3,0,3,3,0,0,3,2,1,0,0,5,2,1,2,4,0,0,6,2,3,0,3,4,3,1,3,1,3,0,1,2,4,0,2,3,1,0,1,2,0,3,0,1,3,0,1,3,0,0,0,1,0,1,4,0,3,0,0,7,0,2,0,2,3,0,2,0,1,0,3,0,1,3,0,1,4,0,1,5,1,0,1,0,1,0,2,1,2,3,1,0,2,0,2,0,1,0,0,3,2,0,1,4,1,0,0,1,1,0,1,1,0,1,1,0,2,1,3,3,0,1,1,1,2,2,1,0,0,0,0,2,5,0,3,0,0,0,3,0,1,5,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,4,3,0,0,0,2,0
leek,5,0,10,0,5,40,7,15,7,2,19,39,4,29,0,1,6,7,6,4,2,1,14,0,8,0,1,27,0,22,4,7,3,3,0,5,7,8,3,8,1,0,11,0,1,4,0,0,1,1,2,19,0,0,5,4,2,4,1,0,0,5,1,0,0,0,26,0,3,3,6,10,5,0,10,3,3,1,2,0,4,16,0,0,2,6,5,5,0,1,1,3,1,10,0,5,0,1,9,0,1,5,1,0,1,0,7,3,8,1,1,2,4,3,13,0,3,10,1,1,4,0,9,3,3,9,0,7,4,0,2,0,4,0,0,1,0,0,3,12,1,2,1,3,0,0,7,3,10,0,4,2,0,5,8,0,0,5,1,8,2,5,3,0,0,0,0,7,2,1,0,2,0,3,2,4,1,11,1,5,0,0,5,0,1,2,0,25,1,2,2,0,0,7,0,1,0,1,0,0,0,0,4,2,6,22,0,1,0,0,2,0,0,1,4,1,2,4,13,2,6,7,3,0,5,5,5,11,13,1,6,16,9,0,2,1,0,1,3,2,0,0,0,4,0,4,1,1,4,5,1,2,0,5,7,0,1,5,1,4,0,0,0,1,0,8,0,2,0,0,1,4,1,0,0,0,0,2,1,0,0,0,5,0,5,0,10,1,4,1,0,0,0,0,1,0,1,1,0,2,4,5,0,0,0,1,2,2,4,0,2,0,1,0,5,1,0,0,1,1,1,0,0,0,1,5,2,4,4,1,0,1,0,0,1,7,0,1,1,1,1,0,7,7,0,1,3,9,7,1,0,0,0,2,3,0,0,0,3,0,0,0,0,1,0,1,5,4,3,1,1,0,1,1,0,2,2,0,1,2,0,0,3,0,11,0,2,0,2,0,2,2,2,0,5,1,3,1,0,0
kidney beans,0,1,3,6,0,16,21,10,39,22,1,0,1,16,0,26,0,25,7,2,1,10,6,4,0,0,0,1,0,0,0,2,78,0,1,1,11,0,12,5,8,23,1,0,14,19,0,15,2,5,67,1,2,0,0,27,11,3,4,1,10,2,11,0,0,1,10,0,5,3,28,8,0,4,0,0,4,19,1,13,4,12,3,0,24,0,0,0,0,2,0,0,0,0,3,4,3,1,1,3,19,1,5,4,11,3,2,1,2,8,6,0,13,5,0,6,8,4,0,0,14,0,1,7,1,8,0,4,2,5,1,1,2,0,0,0,8,0,5,1,4,3,1,2,1,0,11,2,1,0,6,7,0,1,0,0,13,0,0,4,2,0,4,0,0,0,1,0,0,6,16,0,0,6,0,0,0,0,5,0,0,0,1,0,13,2,0,0,1,8,0,4,0,9,8,0,0,0,0,1,11,1,3,0,0,4,0,0,1,6,5,0,0,3,1,1,0,1,0,2,0,0,10,0,1,1,12,6,2,2,5,0,0,0,1,6,0,0,1,0,0,4,1,0,0,1,20,1,1,2,1,2,1,16,4,0,1,3,1,1,0,1,0,2,0,1,0,3,1,0,2,0,1,0,0,2,7,1,4,17,0,0,1,0,2,0,1,0,0,2,0,0,7,1,0,0,1,0,1,1,0,3,0,1,0,2,0,0,10,0,0,2,1,0,1,0,1,0,0,0,5,0,0,1,1,1,4,1,1,3,2,1,0,0,0,0,0,1,6,0,1,0,2,1,0,4,0,0,0,2,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,3,6,4,0,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,9,0,1,0,1,3,0
raspberries,4,4,1,0,8,0,0,0,0,0,0,0,2,0,16,0,9,0,0,12,5,0,0,6,21,4,7,0,5,3,14,1,0,2,87,0,1,10,0,0,0,0,0,5,0,0,8,1,1,2,0,0,0,1,2,0,1,0,0,10,0,2,1,1,7,12,0,0,2,0,0,0,0,1,0,3,4,0,1,0,2,0,5,6,0,7,7,7,12,0,0,11,10,1,1,0,1,5,2,14,0,1,0,0,1,2,0,2,1,0,0,0,0,0,0,1,0,0,6,0,0,2,0,0,0,0,0,0,1,1,0,3,0,10,0,2,1,83,0,0,0,3,0,0,8,8,0,0,0,1,0,1,3,6,0,11,0,7,10,0,0,0,3,6,4,0,5,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,15,0,0,7,0,0,0,0,0,1,0,0,3,5,1,15,0,1,2,0,11,5,0,1,3,4,0,0,4,9,0,1,0,0,0,0,8,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,1,3,3,0,16,6,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,4,0,0,0,0,0,2,6,0,0,0,1,8,4,0,7,0,2,0,0,0,0,8,0,0,0,0,0,0,10,0,1,0,0,0,0,3,0,1,1,0,0,10,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,8,0,1,0,1,1,2,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,2,0,7,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
eggplants,2,4,37,6,2,13,7,6,10,14,13,11,3,6,0,0,3,25,5,4,1,9,13,1,0,0,0,12,1,2,8,3,11,14,0,14,33,2,16,2,17,8,2,0,1,14,0,2,2,11,0,2,1,2,0,6,2,10,1,0,1,8,2,0,0,0,6,0,0,2,6,4,6,1,10,5,1,10,2,0,5,2,0,1,2,0,0,4,0,15,19,2,1,0,1,28,3,8,13,1,3,3,0,0,0,1,6,3,6,10,9,3,8,3,1,7,2,6,2,5,1,0,1,1,5,18,0,4,2,4,4,1,0,0,0,14,0,0,4,1,1,8,3,10,0,0,5,1,4,0,7,8,0,9,0,0,5,1,1,2,5,2,7,0,0,1,0,1,0,2,0,3,1,5,10,1,0,1,8,4,0,0,5,0,1,2,0,2,0,0,0,0,0,7,3,0,0,0,0,2,2,0,3,3,3,7,0,11,0,2,4,2,0,4,4,3,0,1,7,0,1,0,1,0,2,2,12,0,4,0,3,9,3,0,2,0,0,0,4,1,0,0,0,0,1,2,2,10,5,0,0,8,0,7,5,2,0,1,1,7,0,2,0,5,0,1,7,1,2,0,4,3,1,0,0,3,0,1,2,0,0,2,1,0,2,0,1,0,0,2,0,3,2,1,1,0,0,5,0,1,1,1,2,4,1,2,0,0,0,0,4,3,3,0,0,0,0,0,0,2,5,0,0,2,2,2,0,1,0,0,0,3,0,0,0,3,3,5,0,0,1,0,0,1,3,1,1,4,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,2,6,0,0,2,0,0,3,1,0,0,6,0,2,14,0,0,1,0,1,0,6,3,1,2,1,1,0,2,6,2,2,0,2,0
mint leaves,3,6,2,1,26,5,2,1,7,3,10,7,3,8,2,0,5,4,6,8,3,12,3,33,3,1,1,2,2,5,16,1,0,3,12,9,6,4,5,2,3,1,10,0,1,2,2,0,1,4,0,7,0,2,1,1,0,10,0,0,0,11,1,1,1,2,2,0,14,0,1,2,3,0,8,3,1,2,0,1,9,2,0,2,0,4,3,2,36,7,11,3,4,1,0,2,14,17,11,1,0,9,5,2,3,1,2,10,5,0,0,0,7,3,1,2,3,0,0,3,1,0,0,2,3,1,0,7,5,2,9,15,1,2,0,2,4,4,1,1,0,2,1,4,6,13,2,15,1,0,2,2,1,4,0,1,10,0,2,0,0,3,1,6,13,0,0,4,0,1,1,18,0,4,19,0,1,4,10,1,1,1,4,0,0,1,2,3,0,0,2,4,2,1,0,0,1,2,4,0,1,2,2,13,4,2,1,7,2,1,3,2,3,0,2,3,1,1,0,0,0,2,7,6,1,4,0,2,1,1,3,0,1,1,8,0,1,1,0,4,1,6,0,5,6,1,1,2,4,2,0,1,1,1,4,0,0,4,0,0,1,0,0,0,1,4,0,2,3,1,3,4,1,4,1,10,0,1,1,0,5,4,1,3,1,1,1,1,3,17,2,2,0,1,0,10,5,0,0,7,0,2,6,0,0,1,0,2,0,2,8,0,5,2,0,0,1,0,0,0,0,3,0,3,1,0,0,0,2,2,0,0,0,1,1,7,2,8,0,1,2,5,2,1,4,2,2,1,5,0,0,0,6,1,0,1,2,3,0,0,0,0,3,6,0,1,0,0,1,0,4,0,0,0,2,0,2,0,0,1,0,1,2,2,0,0,0,4,0,2,0,0,1,2,1,1,0,1,0,0
yellow cornmeal,5,4,2,9,4,8,1,8,6,2,6,0,8,1,1,14,27,4,1,18,20,1,1,8,0,13,1,9,10,0,5,1,6,0,1,1,3,2,2,3,10,3,2,0,3,9,8,8,5,14,10,7,4,12,3,3,1,3,9,0,1,0,13,0,1,9,5,0,1,8,2,5,2,3,4,0,2,8,5,12,1,0,0,1,7,1,3,7,0,3,5,5,4,3,0,1,0,4,4,0,2,1,2,2,1,0,4,0,4,3,1,1,1,2,7,10,4,2,5,0,4,0,1,6,0,3,0,1,4,2,0,1,1,0,0,2,0,5,0,4,2,0,0,4,0,0,0,0,3,0,2,1,1,0,0,2,4,8,0,1,2,3,4,0,1,7,1,1,2,1,10,0,10,0,1,1,3,1,1,2,1,4,2,1,0,1,1,0,2,3,0,1,0,1,4,0,0,0,0,0,6,0,0,1,4,2,0,3,1,3,0,1,0,0,0,6,2,0,0,1,0,0,1,0,0,0,0,0,1,2,0,2,0,7,0,2,3,1,0,2,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,2,1,0,0,4,1,0,5,1,0,2,1,2,2,2,2,1,0,0,0,1,0,0,3,1,0,2,0,0,1,0,0,1,0,2,0,0,2,0,1,0,0,0,0,1,1,1,0,3,10,4,1,1,6,0,0,0,0,1,0,2,0,1,1,6,1,1,0,0,2,0,0,2,4,1,1,1,0,0,1,0,0,0,0,4,0,0,0,2,0,4,1,0,0,0,0,2,0,1,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,4,1,1,2,0,1,1,0,0,0,1,2,0
